"tenure","n.adults","n.children","premium","len.at.res","ni.age","year","claim.ind","ni.marital.status","ni.gender","sales.channel","coverage.type","dwelling.type","credit","house.color","zip.code","cancel","id"
20,1,1,783.6680684,19,50,-2,"0","1","F","Broker","A","Tenant","high","blue","8",0,45
5,3,0,711.7543037,17,26,-2,"0","0","M","Phone","A","Condo","high","red","8",0,46
5,2,1,895.4214851,10,30,-2,"0","0","M","Phone","A","Condo","medium","red","5",0,47
10,1,3,1017.200297,17,64,-2,"0","1","M","Broker","C","House","high","red","9",0,48
15,1,0,832.5300623,8,39,-2,"0","0","F","Broker","A","House","high","blue","8",0,49
5,1,1,792.1761975,9,34,-2,"0","1","F","Phone","B","Condo","medium","blue","8",1,50
22,3,3,880.252496,9,67,-2,"1","1","M","Online","A","House","low","blue","5",0,51
20,1,1,892.5431675,12,47,-2,"0","1","M","Broker","B","House","high","blue","9",0,52
5,3,0,861.1563126,18,31,-2,"0","0","F","Broker","A","Condo","high","white","8",0,53
21,2,5,939.7847076,17,42,-2,"0","1","M","Broker","A","Tenant","high","red","5",0,54
17,7,0,980.7920646,12,48,-2,"0","1","F","Broker","B","Condo","high","blue","8",1,55
15,5,0,1064.041462,15,40,-2,"0","1","F","Broker","B","Tenant","high","blue","8",0,56
15,1,0,809.148573,18,62,-2,"1","1","F","Online","A","House","high","blue","8",0,57
22,2,7,885.5572322,28,41,-2,"1","1","M","Broker","C","House","high","red","5",0,58
12,6,1,892.7037905,15,64,-2,"1","1","M","Broker","A","House","medium","white","1",0,59
8,2,3,902.243374,12,49,-2,"0","1","M","Broker","A","Condo","high","white","1",1,60
14,2,9,947.5550696,12,67,-2,"0","1","F","Phone","A","House","high","yellow","2",1,61
1,1,0,728.4121462,11,35,-2,"0","1","F","Broker","A","Condo","medium","blue","9",0,62
9,3,1,838.5944742,13,51,-2,"1","1","M","Broker","B","House","medium","red","8",1,63
19,3,0,1125.691567,13,47,-2,"0","1","F","Broker","A","Condo","medium","red","8",0,64
5,3,7,1047.167193,18,35,-2,"1","1","F","Broker","B","Tenant","high","white","8",0,65
16,1,1,861.3973923,16,44,-2,"0","1","F","Broker","C","House","low","white","5",1,66
17,2,0,788.9269448,23,41,-2,"0","1","M","Broker","C","Tenant","high","white","8",0,67
18,1,0,889.933578,12,38,-2,"1","0","M","Broker","C","House","medium","white","5",1,68
13,2,0,854.8365023,15,56,-2,"0","0","F","Online","B","House","high","white","8",0,69
2,3,3,902.4454442,17,27,-2,"0","1","M","Broker","A","Tenant","high","white","8",0,70
14,2,0,740.3133707,24,45,-2,"0","0","F","Broker","A","House","low","red","9",1,71
15,1,0,812.7477744,15,40,-2,"0","0","M","Broker","A","Tenant","low","white","2",1,72
5,2,0,912.9199728,18,35,-2,"0","0","M","Online","C","Tenant","high","blue","5",0,73
4,2,3,761.14424,12,24,-2,"0","1","F","Online","A","House","medium","white","5",1,74
2,1,0,865.5912434,15,28,-2,"1","1","M","Broker","B","House","low","yellow","8",0,75
13,3,10,946.8781284,11,54,-2,"0","1","M","Broker","C","Tenant","low","white","5",0,76
12,2,2,865.9468257,11,41,-2,"1","1","F","Phone","C","House","high","white","8",0,77
10,1,9,820.7237224,15,58,-2,"0","1","M","Phone","A","House","high","red","1",0,78
4,2,2,1004.858513,11,26,-2,"0","1","F","Broker","C","Tenant","high","blue","5",1,79
18,2,3,911.690843,15,41,-2,"0","1","M","Phone","B","House","high","red","8",0,80
11,2,0,764.6132957,18,39,-2,"0","1","F","Phone","A","House","high","red","5",0,81
4,1,3,1088.678876,5,33,-2,"0","1","F","Phone","C","Tenant","high","red","5",0,82
19,1,2,978.4475231,17,53,-2,"1","1","F","Phone","A","House","high","blue","5",0,83
18,3,0,858.3112308,15,45,-2,"0","1","F","Online","C","Tenant","high","red","8",0,84
4,3,2,983.3314102,9,32,-2,"0","1","M","Phone","A","House","high","red","9",0,85
22,2,0,947.4836062,12,47,-2,"0","0","M","Broker","C","Tenant","high","blue","8",0,86
16,2,6,1095.131319,16,61,-2,"1","1","F","Phone","C","House","high","white","8",0,87
18,4,9,762.6000977,12,58,-2,"0","1","F","Phone","A","House","low","blue","8",1,88
4,2,1,864.2114803,37.41053601,30,-2,"0","1","M","Online","B","Condo","medium","white","2",0,89
5,1,0,NA,15,50,-2,"0","1","M","Phone","C","Tenant","high","red","8",0,90
2,1,0,873.6377704,12,31,-2,"0","0","F","Broker","C","House","medium","red","5",0,91
21,1,4,1135.271295,17,47,-2,"1","1","F","Phone","A","House","medium","white","8",0,92
15,1,1,1021.607041,10,39,-2,"0","0","M","Broker","A","Condo","high","blue","8",1,93
22,2,1,891.3748651,18,53,-2,"0","1","F","Online","B","House","high","white","8",0,94
4,4,4,926.9381525,17,36,-2,"0","1","F","Phone","C","House","high","blue","5",0,95
13,4,0,1049.985985,9,55,-2,"0","0","F","Broker","B","House","low","white","8",0,96
12,5,4,825.8910989,15,49,-2,"0","1","F","Phone","A","Condo","high","blue","1",0,97
6,1,2,844.9112656,16,28,-2,"0","0","M","Broker","C","Condo","medium","white","5",0,98
10,3,2,921.9274095,24,72,-2,"0","1","M","Phone","C","House","high","white","8",0,99
16,1,6,1016.348571,17,41,-2,"0","1","F","Broker","B","Condo","low","red","8",1,100
6,3,0,968.7562044,20,33,-2,"0","0","M","Broker","A","Tenant","medium","white","2",0,101
19,2,5,868.9397454,11,44,-2,"0","1","M","Phone","A","House","high","white","8",1,103
26,3,9,1017.730486,11,78,-2,"0","1","M","Broker","C","Condo","high","blue","5",0,104
14,1,1,865.2386541,11,58,-2,"0","1","M","Phone","B","House","high","yellow","5",0,105
13,2,2,897.5705571,19,49,-2,"1","1","M","Online","B","Tenant","low","blue","5",1,106
12,2,3,932.9868454,5,54,-2,"0","1","M","Broker","A","House","low","white","5",1,107
13,1,0,807.9556153,13,57,-2,"0","1","F","Broker","B","House","low","red","5",0,108
12,2,1,877.4641746,16,47,-2,"0","1","F","Online","A","House","low","white","5",0,109
9,6,0,919.3953777,15,49,-2,"0","0","M","Broker","C","Tenant","high","red","8",0,110
20,5,1,1059.753691,11,50,-2,"0","0","F","Phone","A","Condo","high","white","8",0,111
18,5,8,739.2442809,10,47,-2,"0","1","M","Broker","C","Tenant","high","blue","9",1,112
13,3,0,780.885746,12,63,-2,"0","0","M","Broker","C","House","high","blue","1",0,113
18,3,9,907.4824088,16,51,-2,"0","1","F","Phone","B","House","high","blue","8",1,114
12,1,10,773.3397722,17,56,-2,"0","1","M","Broker","A","House","low","blue","1",0,115
10,1,1,947.1460214,19,48,-2,"1","1","F","Broker","C","House","high","red","8",0,116
15,2,0,964.7692551,15,37,-2,"0","1","F","Broker","B","House","high","white","8",0,117
15,2,1,1034.595341,17,43,-2,"0","1","F","Phone","B","House","high","red","8",1,118
14,5,3,877.1006303,15,71,-2,"1","1","M","Broker","C","House","high","yellow","8",0,119
13,2,8,844.7166091,15,50,-2,"0","1","F","Broker","B","House","high","white","8",0,120
10,2,1,760.1477503,20,51,-2,"0","0","M","Broker","B","Condo","high","red","1",0,121
5,2,0,805.8586273,14,31,-2,"1","0","F","Phone","B","House","medium","red","5",0,122
4,3,3,1009.216468,14,31,-2,"0","1","F","Phone","C","House","medium","blue","5",0,123
16,5,4,774.1166402,5,47,-2,"0","1","M","Phone","C","House","high","red","8",0,124
12,1,0,1042.618707,21,54,-2,"0","0","M","Broker","B","House","high","blue","8",0,125
7,1,4,785.556307,11,25,-2,"1","1","F","Phone","C","Condo","medium","blue","9",0,126
19,1,0,893.6130464,18,82,-2,"0","0","M","Phone","C","House","high","red","2",0,127
13,1,1,984.5618578,19,38,-2,"0","0","M","Phone","A","Condo","high","white","8",0,128
0,2,1,817.4377391,11,21,-2,"0","1","F","Online","C","Tenant","medium","yellow","1",1,129
16,1,3,1061.310747,14,39,-2,"0","1","F","Phone","B","Tenant","low","red","9",1,130
18,1,2,815.4931746,13,49,-2,"0","1","F","Broker","C","Tenant","medium","red","5",0,131
15,3,0,1022.267836,16,46,-2,"1","0","M","Broker","C","House","medium","white","8",1,132
19,1,0,875.3693788,14,53,-2,"0","0","M","Broker","A","Condo","high","red","8",1,133
5,1,0,960.3169348,13,31,-2,"0","1","M","Broker","A","Condo","high","blue","8",0,134
14,5,0,887.8002052,10,45,-2,"0","0","F","Phone","C","House","high","yellow","9",1,135
3,2,2,860.0981747,22,23,-2,"0","1","M","Phone","A","Tenant","low","white","8",0,136
11,1,5,975.9582828,19,42,-2,"0","1","M","Phone","B","Tenant","high","blue","2",1,137
4,3,11,1017.954413,15,33,-2,"0","1","F","Phone","A","Condo","high","red","1",1,138
13,2,0,874.773241,15,45,-2,"1","0","M","Broker","A","Tenant","high","white","8",1,139
16,3,2,915.1260063,14,67,-2,"0","1","M","Phone","A","Condo","high","red","8",0,140
25,2,2,1012.78474,12,54,-2,"0","1","F","Phone","B","House","low","white","5",1,141
10,1,1,1024.566719,19,44,-2,"1","0","F","Broker","C","House","high","white","1",0,142
12,2,2,1015.244101,18,42,-2,"0","0","F","Phone","C","Tenant","medium","white","5",1,143
6,1,1,987.3243274,8,32,-2,"0","1","F","Phone","B","Condo","high","red","5",0,144
24,1,4,843.0780701,20,45,-2,"0","1","F","Broker","A","Condo","medium","blue","9",0,145
5,1,0,921.0492567,21,35,-2,"1","0","F","Phone","B","House","high","white","9",1,146
14,5,1,855.8159034,12,37,-2,"0","0","M","Broker","B","House","low","white","8",0,147
4,3,2,943.0315839,17,30,-2,"0","1","M","Broker","B","House","high","white","1",0,148
4,3,0,785.1151338,12,24,-2,"0","0","F","Online","C","House","high","white","5",0,149
1,4,0,852.3515743,17,27,-2,"0","1","M","Phone","B","House","low","red","8",1,150
4,5,0,879.0835502,16,26,-2,"0","0","M","Phone","A","House","medium","blue","8",0,151
10,2,2,791.9601147,13,60,-2,"0","0","M","Broker","B","House","high","white","8",0,152
14,2,8,897.9037537,16,51,-2,"0","1","F","Phone","C","House","high","blue","8",0,153
9,1,8,806.851532,20,42,-2,"0","1","M","Phone","B","Condo","high","red","1",0,154
14,1,11,1030.858524,10,47,-2,"0","1","M","Broker","A","House","high","white","5",0,155
9,1,0,804.411751,20,41,-2,"0","0","M","Phone","C","Condo","medium","blue","5",0,156
15,2,0,895.2279608,12,47,-2,"0","0","F","Phone","C","Condo","medium","blue","5",0,157
4,2,0,870.8145384,23,25,-2,"0","0","F","Phone","B","Tenant","medium","white","8",0,158
5,3,0,852.1710298,10,32,-2,"0","0","M","Broker","C","Condo","low","blue","9",0,159
23,1,0,788.4550472,13,61,-2,"0","1","M","Broker","A","House","high","red","5",0,160
25,2,0,880.5916286,18,49,-2,"0","1","M","Phone","A","Condo","high","red","8",0,161
12,1,2,1012.037053,26,54,-2,"0","1","M","Broker","C","House","high","white","5",1,162
13,1,2,865.580175,21,54,-2,"0","1","F","Broker","C","House","high","yellow","8",0,163
20,2,10,843.7156103,11,43,-2,"0","1","F","Broker","B","House","medium","white","5",1,164
12,2,3,954.2385346,18,39,-2,"0","1","F","Broker","C","House","high","white","5",1,165
4,1,0,836.9452165,14,31,-2,"0","0","M","Broker","A","Condo","high","white","8",0,166
5,3,8,888.6359218,19,36,-2,"0","1","M","Broker","C","House","low","red","8",0,167
15,4,1,956.3704527,20,45,-2,"0","0","F","Phone","A","House","high","blue","1",1,168
4,1,2,933.2668456,11,27,-2,"0","1","F","Phone","C","Condo","high","white","2",1,170
12,4,4,921.8486507,14,43,-2,"0","1","M","Phone","A","Tenant","low","white","8",1,171
13,1,1,944.9607351,15,42,-2,"0","1","F","Phone","A","Condo","high","yellow","5",0,172
12,1,1,948.8473934,11,72,-2,"0","1","F","Broker","C","House","high","red","8",0,173
11,3,2,886.8378006,20,53,-2,"0","1","F","Phone","A","House","high","red","8",0,174
14,1,2,951.0001679,16,43,-2,"0","1","F","Broker","A","House","medium","red","2",1,175
17,3,2,933.394641,16,49,-2,"0","1","M","Phone","C","Condo","high","blue","1",0,176
15,2,4,836.3822619,9,65,-2,"1","1","F","Phone","B","House","low","white","1",0,177
10,2,0,721.229662,13,43,-2,"1","1","F","Broker","C","Condo","medium","white","9",0,178
11,1,0,944.5827253,17,40,-2,"1","0","M","Broker","C","Tenant","high","red","5",1,179
4,1,0,799.6102847,12,32,-2,"0","0","F","Broker","A","Condo","low","white","5",1,180
0,5,2,962.995706,11,35,-2,"0","1","M","Online","A","House","high","white","9",0,181
13,1,0,872.2214902,15,55,-2,"0","1","F","Broker","B","House","high","white","1",0,182
5,3,0,975.1822826,20,36,-2,"0","1","F","Phone","A","Tenant","low","white","1",0,183
15,1,8,977.2665122,13,45,-2,"0","1","F","Broker","B","Condo","medium","blue","5",0,184
18,1,3,1055.875954,18,47,-2,"0","1","F","Broker","B","Condo","high","white","8",0,185
13,1,0,949.0456202,15,51,-2,"0","0","F","Broker","C","House","high","red","8",1,186
14,1,2,861.2066153,11,52,-2,"0","1","M","Broker","B","House","high","blue","1",0,187
6,1,0,856.1456826,15,31,-2,"0","1","M","Broker","B","House","high","red","5",0,188
12,3,1,823.4104005,15.12989547,39,-2,"1","1","F","Phone","C","Condo","high","red","9",0,189
1,1,0,736.7185685,13,36,-2,"0","0","F","Broker","A","House","low","white","9",1,191
6,1,6,961.5127625,18,29,-2,"0","1","F","Broker","B","Condo","medium","red","2",0,192
4,2,0,868.5667897,26,28,-2,"0","1","M","Phone","A","House","medium","blue","5",0,193
4,3,0,865.9796662,17,33,-2,"0","1","F","Phone","C","House","low","blue","8",1,194
23,1,0,832.6776383,12,61,-2,"0","1","F","Online","C","House","high","red","5",0,195
0,3,4,966.5447488,19,22,-2,"0","1","F","Online","B","Condo","high","red","8",1,196
15,2,1,944.7107798,15,41,-2,"0","1","F","Broker","B","Condo","low","blue","2",0,197
16,3,0,928.3813757,14,41,-2,"0","0","M","Broker","C","Condo","high","white","9",0,198
2,1,1,922.2983996,17,31,-2,"0","1","F","Broker","B","House","medium","red","5",0,199
13,4,1,807.7585486,11,41,-2,"1","1","M","Phone","A","Tenant","high","white","9",0,200
15,1,0,967.4073842,9,60,-2,"0","0","F","Broker","A","House","high","white","9",0,201
24,6,1,941.3525857,17,46,-2,"0","1","F","Broker","C","Condo","high","blue","8",0,202
15,1,0,1038.291373,6,54,-2,"1","1","F","Broker","C","House","low","blue","8",0,203
13,1,3,843.1425209,35.13214265,63,-2,"0","1","F","Phone","A","Tenant","high","blue","2",1,204
10,2,0,847.457589,14,29,-2,"0","0","F","Broker","A","Condo","low","yellow","8",0,205
9,3,4,884.074178,23.32998298,29,-2,"1","1","F","Phone","A","Tenant","high","white","8",0,206
13,2,0,787.0429253,15,40,-2,"0","1","F","Broker","A","Condo","high","blue","8",0,207
20,2,3,1085.067062,11,47,-2,"0","1","F","Broker","A","Tenant","high","white","8",0,208
10,2,2,958.5933764,13,50,-2,"0","1","F","Phone","C","Condo","high","red","8",0,209
13,1,7,806.5827733,18,39,-2,"0","1","M","Broker","A","Condo","high","red","1",0,210
6,5,0,924.2050512,22,36,-2,"1","1","F","Phone","A","Condo","high","white","5",0,211
6,1,0,895.2732194,7,30,-2,"0","0","F","Broker","C","Tenant","low","blue","8",1,212
3,3,0,871.4425914,15,25,-2,"0","0","M","Broker","C","Condo","low","blue","9",0,213
14,2,2,898.0080748,11,49,-2,"0","1","M","Broker","C","House","low","white","8",0,214
4,1,0,927.0254442,13,22,-2,"0","1","F","Broker","C","House","low","blue","5",1,215
17,2,0,1085.476344,13,38,-2,"0","0","F","Broker","C","Tenant","high","blue","8",0,216
16,2,2,823.4531177,46.85335172,57,-2,"0","1","F","Broker","C","House","high","red","8",0,217
3,2,1,935.4250861,6.655959815,35,-2,"0","1","M","Phone","C","House","high","blue","5",0,218
14,1,0,817.265713,12,49,-2,"0","0","F","Broker","A","Condo","high","white","8",0,219
17,2,0,946.3088079,24.68150865,62,-2,"0","1","F","Broker","A","House","high","blue","8",0,220
10,1,5,918.8576795,20,47,-2,"0","1","F","Broker","A","House","high","red","1",0,221
11,1,1,853.1813793,8,43,-2,"0","1","M","Phone","A","House","medium","white","5",0,222
3,2,0,1015.163138,15,30,-2,"0","1","M","Broker","A","House","low","red","5",1,223
5,2,0,942.0556403,13,29,-2,"0","0","M","Phone","B","Tenant","low","red","5",0,224
4,1,1,857.967618,15,34,-2,"0","1","F","Broker","C","Condo","high","red","8",0,225
9,3,0,946.3177258,18,50,-2,"1","1","M","Broker","A",NA,"low","red","8",1,226
15,4,7,959.82372,11,47,-2,"0","1","M","Phone","A","House","medium","red","1",0,227
16,4,3,821.4526674,19,44,-2,"0","1","M","Broker","B","Tenant","high","white","1",0,228
9,1,0,763.0579104,13,58,-2,"0","0","F","Broker","B","House","high","red","8",0,229
19,3,0,830.8644,15,49,-2,"1","0","F","Broker","C","Tenant","high","red","9",1,230
12,3,3,1049.20617,20,58,-2,"0","1","M","Phone","C","House","high","white","5",0,231
17,2,11,788.8781828,11,59,-2,"0","1","M","Phone","C","House","medium","red","5",0,232
10,1,3,809.3699853,17,45,-2,"0","1","M","Broker","A","House","low","white","5",0,233
14,2,2,904.4102048,25,48,-2,"0","1","M","Broker","A","House","medium","red","8",1,234
12,2,1,1099.914927,16,68,-2,"0","1","F","Broker","C","House","high","blue","8",0,235
0,5,0,854.9341508,16,22,-2,"0","0","M","Online","B","Condo","medium","blue","8",1,236
7,1,3,832.6955792,14,55,-2,"0","1","M","Phone","A","House","high","red","5",0,237
21,1,11,802.4362397,15,47,-2,"0","1","M","Broker","B","House","high","white","8",0,238
14,3,0,903.224528,13,52,-2,"0","1","M","Online","B","House","high","white","9",0,239
9,4,0,890.4651852,14,58,-2,"0","0","F","Broker","C","House","high","red","1",0,240
10,4,2,1009.62721,21,48,-2,"0","1","M","Phone","B","House","high","white","8",0,241
8,4,1,884.5898865,11,35,-2,"0","1","M","Broker","B","Condo","high","yellow","1",0,242
15,6,2,819.9578472,11,54,-2,"1","1","F","Phone","A","House","low","red","1",1,243
14,4,2,1026.685268,7,60,-2,"0","1","M","Phone","C","House","high","blue","8",0,244
0,2,6,1045.191688,9,37,-2,"1","1","F","Online","C","Tenant","medium","red","1",0,245
17,2,0,870.9620308,12,43,-2,"0","0","M","Broker","A","Condo","high","white","8",0,246
3,4,1,930.2520203,19,35,-2,"1","1","M","Phone","A","Tenant","low","white","1",0,247
13,1,10,828.4674865,17,42,-2,"0","1","F","Broker","A","Tenant","medium","yellow","8",0,248
4,2,10,807.384359,19,32,-2,"0","1","F","Broker","B","Tenant","low","white","8",0,249
12,1,4,849.0711515,11,45,-2,"0","1","M","Phone","A","Tenant","medium","blue","8",0,250
5,2,1,908.3722469,11,36,-2,"1","0","F","Broker","C","House","high","blue","5",0,251
11,1,1,912.0147918,20,43,-2,"0","0","F","Phone","B","Tenant","low","blue","8",1,252
15,1,1,895.092107,9,52,-2,"0","1","F","Phone","A","House","medium","blue","2",1,253
13,1,5,899.5243397,23,44,-2,"0","1","M","Broker","A","House","high","blue","2",0,254
4,1,6,833.1637556,13,29,-2,"0","1","F","Broker","A","House","medium","blue","5",1,255
0,1,1,777.4279658,11,22,-2,"0","1","F","Online","C","House","medium","red","8",0,256
2,1,3,925.259208,19,28,-2,"0","1","F","Broker","C","Tenant","high","blue","9",0,257
14,2,0,783.7274511,18,43,-2,"0","0","F","Phone","B","Tenant","high","white","8",0,258
17,1,0,941.8965406,13,52,-2,"0","0","M","Phone","B","House","high","red","8",0,259
14,1,3,1047.128487,14,48,-2,"1","1","F","Broker","B","House","high","white","1",0,260
14,1,4,914.7752385,8,38,-2,"1","1","F","Broker","B","Tenant","high","red","5",0,261
3,2,0,969.8133327,14,26,-2,"0","0","F","Phone","A","Condo","medium","red","5",1,262
20,3,1,948.2314309,15,50,-2,"0","0","M","Phone","A","Condo","high","yellow","5",0,263
6,3,9,761.4309944,10,34,-2,"1","1","M","Broker","A","Tenant","low","red","9",1,264
17,1,0,1017.073953,15,45,-2,"0","1","F","Broker","A","House","low","red","8",0,265
14,1,1,842.5340457,15,57,-2,"1","1","M","Broker","A","House","high","blue","8",0,266
16,1,1,853.3724918,12,44,-2,"1","0","F","Broker","C","House","high","blue","1",0,267
11,2,7,858.4984728,6,55,-2,"0","1","F","Broker","A","House","high","blue","1",0,268
8,3,0,835.5348695,19,40,-2,"1","1","M","Phone","A","House","high","blue","5",1,269
15,1,0,998.4279563,16,49,-2,"0","0","M","Broker","A","Condo","high","red","5",0,270
10,1,0,998.5171554,14,47,-2,"0","0","F","Online","A","Tenant","high","red","5",0,271
16,1,0,874.7448521,22,43,-2,"0","0","M","Broker","A","Condo","high","blue","8",0,272
4,3,0,814.4151983,19,32,-2,"0","0","M","Broker","C","House","low","blue","5",1,273
18,2,0,873.9509773,14,37,-2,"1","0","M","Broker","A","House","high","white","9",1,274
29,4,1,964.0674551,13,58,-2,"0","0","F","Phone","B","House","low","yellow","8",1,275
13,1,2,998.6119065,16,54,-2,"1","1","F","Broker","C","House","medium","blue","9",0,276
17,1,1,830.3701896,7,55,-2,"0","1","F","Phone","C","House","high","red","8",0,277
17,4,8,832.2666701,17,57,-2,"1","1","F","Broker","C","House","high","white","5",0,278
17,1,0,1043.645637,16,42,-2,"0","0","F","Broker","A","Condo","high","red","8",0,279
20,1,0,967.3053017,13,44,-2,"1","1","M","Phone","A","Condo","low","red","1",0,280
5,1,0,870.1429236,17,25,-2,"0","1","F","Phone","A","Condo","high","white","8",0,281
6,3,0,887.0600717,13,24,-2,"1","1","M","Online","A","Tenant","low","blue","1",1,282
9,3,1,1010.76888,14,45,-2,"1","1","M","Phone","C","House","high","white","5",1,283
14,1,0,925.2322164,16,53,-2,"1","0","F","Online","A","House","high","red","2",0,284
20,2,0,813.9518494,8,40,-2,"0","1","M","Broker","A","House","medium","blue","5",0,285
19,1,0,959.5832815,11,60,-2,"0","0","F","Phone","B","House","medium","yellow","5",0,286
13,1,0,939.0678292,11,42,-2,"0","1","M","Phone","B","Tenant","low","red","5",0,287
19,1,0,953.0145092,20,46,-2,"0","0","M","Phone","C","Tenant","high","blue","1",0,288
15,4,0,1052.967589,15,39,-2,"0","0","M","Broker","A","House","high","white","8",0,289
11,2,0,921.857611,15,51,-2,"0","0","M","Phone","A","House","medium","red","1",0,290
3,1,11,876.1761508,14,33,-2,"1","1","M","Broker","C","Tenant","low","white","8",1,291
2,3,0,906.6741268,13,32,-2,"0","0","M","Online","C","Tenant","high","white","5",0,292
5,1,9,937.4115124,12,31,-2,"0","1","F","Broker","A","Condo","high","yellow","8",0,293
15,1,5,993.8909853,18,50,-2,"0","1","F","Broker","C","House","high","blue","1",0,294
3,3,0,916.4752412,14,28,-2,"0","0","M","Online","B","Condo","high","white","8",0,295
14,1,0,933.3079443,15,47,-2,"0","0","F","Phone","A","House","high","red","8",0,296
0,2,3,1001.122747,10,26,-2,"1","1","M","Broker","C","Tenant","low","blue","5",0,297
16,2,0,1027.00165,16,39,-2,"0","0","F","Broker","C","Condo","high","white","5",1,298
20,1,2,965.8765112,11,67,-2,"0","1","M","Phone","C","Condo","high","blue","5",0,299
7,2,0,861.5164335,12,30,-2,"1","1","M","Online","B","Condo","high","red","8",0,300
19,3,0,841.0121681,12,56,-2,"1","1","M","Phone","C","House","low","blue","8",0,301
4,1,4,945.3820727,8,36,-2,"1","1","F","Phone","C","Condo","high","blue","5",0,302
6,3,4,672.4124561,20,33,-2,"0","1","M","Broker","C","Tenant","low","white","5",0,303
4,1,0,959.2536688,8,34,-2,"1","1","M","Broker","A","Tenant","medium","white","1",0,304
11,1,0,955.1151282,18,53,-2,"1","1","F","Phone","A","House","medium","blue","8",1,305
