tenure,claim.ind,n.adults,n.children,ni.gender,ni.marital.status,premium,sales.channel,coverage.type,dwelling.type,len.at.res,credit,house.color,ni.age,year,zip.code,cancel,id
24,1,2,2,M,1,886.8540324,Broker,C,House,19,high,blue,50,2013,80025,0,28
12,0,4,0,M,0,960.1329951,Broker,B,House,19,high,white,44,2013,15020,0,29
18,0,1,2,M,1,912.6671855,Phone,A,House,33.01379238,high,yellow,112,2013,80022,0,30
14,0,2,0,F,1,955.3623974,Broker,C,Condo,23,high,blue,49,2013,85078,0,31
7,0,3,4,M,1,826.5638554,Phone,A,House,12,high,red,33,2013,50047,0,32
1,1,1,1,M,1,853.248215,Broker,A,House,14,high,white,34,2013,50043,0,33
0,1,3,0,M,0,778.0405213,Phone,C,House,11,high,white,31,2013,98033,0,34
15,0,3,2,F,1,858.0413074,Broker,A,House,12,medium,blue,57,2013,85062,0,35
14,0,1,0,M,1,814.1580494,Broker,B,Condo,13,high,red,65,2013,15045,0,36
8,0,1,0,M,0,952.140043,Broker,A,Condo,11,medium,white,31,2013,15037,0,37
24,1,4,10,F,1,853.0122391,Phone,A,Condo,11,high,white,63,2013,50001,1,38
6,0,1,0,F,1,884.2097974,Broker,B,House,22,high,white,28,2013,80022,0,39
13,0,2,1,M,1,742.9353589,Broker,A,House,14,medium,white,39,2013,50054,0,40
15,0,1,3,F,1,870.915032,Phone,C,House,11,high,white,46,2013,50008,1,41
20,0,2,0,M,1,910.9868567,Broker,C,Condo,19,high,white,49,2013,50058,0,42
15,1,2,6,M,1,889.8326301,Phone,A,Condo,10,high,white,53,2013,80003,0,43
14,0,1,0,F,0,929.2957481,Broker,C,House,17,high,white,57,2013,50009,0,44
20,0,1,1,F,1,783.6680684,Broker,A,Tenant,19,high,blue,50,2013,85011,0,45
5,0,3,0,M,0,711.7543037,Phone,A,Condo,17,high,red,26,2013,85033,0,46
5,0,2,1,M,0,895.4214851,Phone,A,Condo,10,medium,red,30,2013,50034,0,47
10,0,1,3,M,1,1017.200297,Broker,C,House,17,high,red,64,2013,98014,0,48
15,0,1,0,F,0,832.5300623,Broker,A,House,8,high,blue,39,2013,85021,0,49
5,0,1,1,F,1,792.1761975,Phone,B,Condo,9,medium,blue,34,2013,80002,1,50
22,1,3,3,M,1,880.252496,Online,A,House,9,low,blue,67,2013,50056,0,51
20,0,1,1,M,1,892.5431675,Broker,B,House,12,high,blue,47,2013,98001,0,52
5,0,3,0,F,0,861.1563126,Broker,A,Condo,18,high,white,31,2013,85033,0,53
21,0,2,5,M,1,939.7847076,Broker,A,Tenant,17,high,red,42,2013,50022,0,54
17,0,7,0,F,1,980.7920646,Broker,B,Condo,12,high,blue,48,2013,80002,1,55
15,0,5,0,F,1,1064.041462,Broker,B,Tenant,15,high,blue,40,2013,80024,0,56
15,1,1,0,F,1,809.148573,Online,A,House,18,high,blue,62,2013,80040,0,57
22,1,2,7,M,1,885.5572322,Broker,C,House,28,high,red,41,2013,50014,0,58
12,1,6,1,M,1,892.7037905,Broker,A,House,15,medium,white,64,2013,15012,0,59
8,0,2,3,M,1,902.243374,Broker,A,Condo,12,high,white,49,2013,15026,1,60
14,0,2,9,F,1,947.5550696,Phone,A,House,12,high,yellow,67,2013,20103,1,61
1,0,1,0,F,1,728.4121462,Broker,A,Condo,11,medium,blue,35,2013,98026,0,62
9,1,3,1,M,1,838.5944742,Broker,B,House,13,medium,red,51,2013,85077,1,63
19,0,3,0,F,1,1125.691567,Broker,A,Condo,13,medium,red,47,2013,85072,0,64
5,1,3,7,F,1,1047.167193,Broker,B,Tenant,18,high,white,35,2013,85013,0,65
16,0,1,1,F,1,861.3973923,Broker,C,House,16,low,white,44,2013,50027,1,66
17,0,2,0,M,1,788.9269448,Broker,C,Tenant,23,high,white,41,2013,80022,0,67
18,1,1,0,M,0,889.933578,Broker,C,House,12,medium,white,38,2013,50022,1,68
13,0,2,0,F,0,854.8365023,Online,B,House,15,high,white,56,2013,85054,0,69
2,0,3,3,M,1,902.4454442,Broker,A,Tenant,17,high,white,27,2013,80004,0,70
14,0,2,0,F,0,740.3133707,Broker,A,House,24,low,red,45,2013,98004,1,71
15,0,1,0,M,0,812.7477744,Broker,A,Tenant,15,low,white,40,2013,20132,1,72
5,0,2,0,M,0,912.9199728,Online,C,Tenant,18,high,blue,35,2013,50025,0,73
4,0,2,3,F,1,761.14424,Online,A,House,12,medium,white,24,2013,50022,1,74
2,1,1,0,M,1,865.5912434,Broker,B,House,15,low,yellow,28,2013,80022,0,75
13,0,3,10,M,1,946.8781284,Broker,C,Tenant,11,low,white,54,2013,50025,0,76
12,1,2,2,F,1,865.9468257,Phone,C,House,11,high,white,41,2013,80003,0,77
10,0,1,9,M,1,820.7237224,Phone,A,House,15,high,red,58,2013,15021,0,78
4,0,2,2,F,1,1004.858513,Broker,C,Tenant,11,high,blue,26,2013,50009,1,79
18,0,2,3,M,1,911.690843,Phone,B,House,15,high,red,41,2013,80014,0,80
11,0,2,0,F,1,764.6132957,Phone,A,House,18,high,red,39,2013,50047,0,81
4,0,1,3,F,1,1088.678876,Phone,C,Tenant,5,high,red,33,2013,50009,0,82
19,1,1,2,F,1,978.4475231,Phone,A,House,17,high,blue,53,2013,50054,0,83
18,0,3,0,F,1,858.3112308,Online,C,Tenant,15,high,red,45,2013,80042,0,84
4,0,3,2,M,1,983.3314102,Phone,A,House,9,high,red,32,2013,98002,0,85
22,0,2,0,M,0,947.4836062,Broker,C,Tenant,12,high,blue,47,2013,80005,0,86
16,1,2,6,F,1,1095.131319,Phone,C,House,16,high,white,61,2013,85026,0,87
18,0,4,9,F,1,762.6000977,Phone,A,House,12,low,blue,58,2013,80011,1,88
4,0,2,1,M,1,864.2114803,Online,B,Condo,37.41053601,medium,white,30,2013,20152,0,89
5,0,1,0,M,1,NA,Phone,C,Tenant,15,high,red,50,2013,85076,0,90
2,0,1,0,F,0,873.6377704,Broker,C,House,12,medium,red,31,2013,50025,0,91
21,1,1,4,F,1,1135.271295,Phone,A,House,17,medium,white,47,2013,80014,0,92
15,0,1,1,M,0,1021.607041,Broker,A,Condo,10,high,blue,39,2013,85077,1,93
22,0,2,1,F,1,891.3748651,Online,B,House,18,high,white,53,2013,80020,0,94
4,0,4,4,F,1,926.9381525,Phone,C,House,17,high,blue,36,2013,50052,0,95
13,0,4,0,F,0,1049.985985,Broker,B,House,9,low,white,55,2013,80014,0,96
12,0,5,4,F,1,825.8910989,Phone,A,Condo,15,high,blue,49,2013,15052,0,97
6,0,1,2,M,0,844.9112656,Broker,C,Condo,16,medium,white,28,2013,50040,0,98
10,0,3,2,M,1,921.9274095,Phone,C,House,24,high,white,72,2013,85055,0,99
16,0,1,6,F,1,1016.348571,Broker,B,Condo,17,low,red,41,2013,80007,1,100
6,0,3,0,M,0,968.7562044,Broker,A,Tenant,20,medium,white,33,2013,20152,0,101
13,1,4,0,F,1,965.3217817,Broker,A,House,11,high,red,41,2013,80102,-1,102
19,0,2,5,M,1,868.9397454,Phone,A,House,11,high,white,44,2013,85078,1,103
26,0,3,9,M,1,1017.730486,Broker,C,Condo,11,high,blue,78,2013,50051,0,104
14,0,1,1,M,1,865.2386541,Phone,B,House,11,high,yellow,58,2013,50040,0,105
13,1,2,2,M,1,897.5705571,Online,B,Tenant,19,low,blue,49,2013,50056,1,106
12,0,2,3,M,1,932.9868454,Broker,A,House,5,low,white,54,2013,50008,1,107
13,0,1,0,F,1,807.9556153,Broker,B,House,13,low,red,57,2013,50040,0,108
12,0,2,1,F,1,877.4641746,Online,A,House,16,low,white,47,2013,50052,0,109
9,0,6,0,M,0,919.3953777,Broker,C,Tenant,15,high,red,49,2013,80028,0,110
20,0,5,1,F,0,1059.753691,Phone,A,Condo,11,high,white,50,2013,85014,0,111
18,0,5,8,M,1,739.2442809,Broker,C,Tenant,10,high,blue,47,2013,98002,1,112
13,0,3,0,M,0,780.885746,Broker,C,House,12,high,blue,63,2013,15047,0,113
18,0,3,9,F,1,907.4824088,Phone,B,House,16,high,blue,51,2013,85034,1,114
12,0,1,10,M,1,773.3397722,Broker,A,House,17,low,blue,56,2013,15021,0,115
10,1,1,1,F,1,947.1460214,Broker,C,House,19,high,red,48,2013,85077,0,116
15,0,2,0,F,1,964.7692551,Broker,B,House,15,high,white,37,2013,85070,0,117
15,0,2,1,F,1,1034.595341,Phone,B,House,17,high,red,43,2013,85068,1,118
14,1,5,3,M,1,877.1006303,Broker,C,House,15,high,yellow,71,2013,85054,0,119
13,0,2,8,F,1,844.7166091,Broker,B,House,15,high,white,50,2013,85082,0,120
10,0,2,1,M,0,760.1477503,Broker,B,Condo,20,high,red,51,2013,15001,0,121
5,1,2,0,F,0,805.8586273,Phone,B,House,14,medium,red,31,2013,50047,0,122
4,0,3,3,F,1,1009.216468,Phone,C,House,14,medium,blue,31,2013,50014,0,123
16,0,5,4,M,1,774.1166402,Phone,C,House,5,high,red,47,2013,85076,0,124
12,0,1,0,M,0,1042.618707,Broker,B,House,21,high,blue,54,2013,80005,0,125
7,1,1,4,F,1,785.556307,Phone,C,Condo,11,medium,blue,25,2013,98012,0,126
19,0,1,0,M,0,893.6130464,Phone,C,House,18,high,red,82,2013,20151,0,127
13,0,1,1,M,0,984.5618578,Phone,A,Condo,19,high,white,38,2013,85066,0,128
0,0,2,1,F,1,817.4377391,Online,C,Tenant,11,medium,yellow,21,2013,15022,1,129
16,0,1,3,F,1,1061.310747,Phone,B,Tenant,14,low,red,39,2013,98032,1,130
18,0,1,2,F,1,815.4931746,Broker,C,Tenant,13,medium,red,49,2013,50011,0,131
15,1,3,0,M,0,1022.267836,Broker,C,House,16,medium,white,46,2013,80021,1,132
19,0,1,0,M,0,875.3693788,Broker,A,Condo,14,high,red,53,2013,85017,1,133
5,0,1,0,M,1,960.3169348,Broker,A,Condo,13,high,blue,31,2013,80010,0,134
14,0,5,0,F,0,887.8002052,Phone,C,House,10,high,yellow,45,2013,98004,1,135
3,0,2,2,M,1,860.0981747,Phone,A,Tenant,22,low,white,23,2013,85077,0,136
11,0,1,5,M,1,975.9582828,Phone,B,Tenant,19,high,blue,42,2013,20152,1,137
4,0,3,11,F,1,1017.954413,Phone,A,Condo,15,high,red,33,2013,15003,1,138
13,1,2,0,M,0,874.773241,Broker,A,Tenant,15,high,white,45,2013,85014,1,139
16,0,3,2,M,1,915.1260063,Phone,A,Condo,14,high,red,67,2013,85070,0,140
25,0,2,2,F,1,1012.78474,Phone,B,House,12,low,white,54,2013,50054,1,141
10,1,1,1,F,0,1024.566719,Broker,C,House,19,high,white,44,2013,15022,0,142
12,0,2,2,F,0,1015.244101,Phone,C,Tenant,18,medium,white,42,2013,50047,1,143
6,0,1,1,F,1,987.3243274,Phone,B,Condo,8,high,red,32,2013,50009,0,144
24,0,1,4,F,1,843.0780701,Broker,A,Condo,20,medium,blue,45,2013,98010,0,145
5,1,1,0,F,0,921.0492567,Phone,B,House,21,high,white,35,2013,98033,1,146
14,0,5,1,M,0,855.8159034,Broker,B,House,12,low,white,37,2013,85027,0,147
4,0,3,2,M,1,943.0315839,Broker,B,House,17,high,white,30,2013,15026,0,148
4,0,3,0,F,0,785.1151338,Online,C,House,12,high,white,24,2013,50047,0,149
1,0,4,0,M,1,852.3515743,Phone,B,House,17,low,red,27,2013,85033,1,150
4,0,5,0,M,0,879.0835502,Phone,A,House,16,medium,blue,26,2013,80022,0,151
10,0,2,2,M,0,791.9601147,Broker,B,House,13,high,white,60,2013,80022,0,152
14,0,2,8,F,1,897.9037537,Phone,C,House,16,high,blue,51,2013,85042,0,153
9,0,1,8,M,1,806.851532,Phone,B,Condo,20,high,red,42,2013,15025,0,154
14,0,1,11,M,1,1030.858524,Broker,A,House,10,high,white,47,2013,50058,0,155
9,0,1,0,M,0,804.411751,Phone,C,Condo,20,medium,blue,41,2013,50038,0,156
15,0,2,0,F,0,895.2279608,Phone,C,Condo,12,medium,blue,47,2013,50047,0,157
4,0,2,0,F,0,870.8145384,Phone,B,Tenant,23,medium,white,25,2013,85024,0,158
5,0,3,0,M,0,852.1710298,Broker,C,Condo,10,low,blue,32,2013,98012,0,159
23,0,1,0,M,1,788.4550472,Broker,A,House,13,high,red,61,2013,50056,0,160
25,0,2,0,M,1,880.5916286,Phone,A,Condo,18,high,red,49,2013,85034,0,161
12,0,1,2,M,1,1012.037053,Broker,C,House,26,high,white,54,2013,50054,1,162
13,0,1,2,F,1,865.580175,Broker,C,House,21,high,yellow,54,2013,85033,0,163
20,0,2,10,F,1,843.7156103,Broker,B,House,11,medium,white,43,2013,50054,1,164
12,0,2,3,F,1,954.2385346,Broker,C,House,18,high,white,39,2013,50025,1,165
4,0,1,0,M,0,836.9452165,Broker,A,Condo,14,high,white,31,2013,85017,0,166
5,0,3,8,M,1,888.6359218,Broker,C,House,19,low,red,36,2013,85051,0,167
15,0,4,1,F,0,956.3704527,Phone,A,House,20,high,blue,45,2013,15025,1,168
4,0,1,2,F,1,933.2668456,Phone,C,Condo,11,high,white,27,2013,20103,1,170
12,0,4,4,M,1,921.8486507,Phone,A,Tenant,14,low,white,43,2013,85011,1,171
13,0,1,1,F,1,944.9607351,Phone,A,Condo,15,high,yellow,42,2013,50040,0,172
12,0,1,1,F,1,948.8473934,Broker,C,House,11,high,red,72,2013,80045,0,173
11,0,3,2,F,1,886.8378006,Phone,A,House,20,high,red,53,2013,85040,0,174
14,0,1,2,F,1,951.0001679,Broker,A,House,16,medium,red,43,2013,20110,1,175
17,0,3,2,M,1,933.394641,Phone,C,Condo,16,high,blue,49,2013,15012,0,176
15,1,2,4,F,1,836.3822619,Phone,B,House,9,low,white,65,2013,15021,0,177
10,1,2,0,F,1,721.229662,Broker,C,Condo,13,medium,white,43,2013,98033,0,178
11,1,1,0,M,0,944.5827253,Broker,C,Tenant,17,high,red,40,2013,50020,1,179
4,0,1,0,F,0,799.6102847,Broker,A,Condo,12,low,white,32,2013,50041,1,180
0,0,5,2,M,1,962.995706,Online,A,House,11,high,white,35,2013,98032,0,181
13,0,1,0,F,1,872.2214902,Broker,B,House,15,high,white,55,2013,15052,0,182
5,0,3,0,F,1,975.1822826,Phone,A,Tenant,20,low,white,36,2013,15022,0,183
15,0,1,8,F,1,977.2665122,Broker,B,Condo,13,medium,blue,45,2013,50009,0,184
18,0,1,3,F,1,1055.875954,Broker,B,Condo,18,high,white,47,2013,85033,0,185
13,0,1,0,F,0,949.0456202,Broker,C,House,15,high,red,51,2013,80028,1,186
14,0,1,2,M,1,861.2066153,Broker,B,House,11,high,blue,52,2013,15044,0,187
6,0,1,0,M,1,856.1456826,Broker,B,House,15,high,red,31,2013,50013,0,188
12,1,3,1,F,1,823.4104005,Phone,C,Condo,15.12989547,high,red,39,2013,98021,0,189
7,1,3,2,F,1,936.7209703,Online,B,Condo,7,medium,yellow,29,2013,50001,-1,190
1,0,1,0,F,0,736.7185685,Broker,A,House,13,low,white,36,2013,98004,1,191
6,0,1,6,F,1,961.5127625,Broker,B,Condo,18,medium,red,29,2013,20144,0,192
4,0,2,0,M,1,868.5667897,Phone,A,House,26,medium,blue,28,2013,50008,0,193
4,0,3,0,F,1,865.9796662,Phone,C,House,17,low,blue,33,2013,85006,1,194
23,0,1,0,F,1,832.6776383,Online,C,House,12,high,red,61,2013,50025,0,195
0,0,3,4,F,1,966.5447488,Online,B,Condo,19,high,red,22,2013,85027,1,196
15,0,2,1,F,1,944.7107798,Broker,B,Condo,15,low,blue,41,2013,20156,0,197
16,0,3,0,M,0,928.3813757,Broker,C,Condo,14,high,white,41,2013,98022,0,198
2,0,1,1,F,1,922.2983996,Broker,B,House,17,medium,red,31,2013,50032,0,199
13,1,4,1,M,1,807.7585486,Phone,A,Tenant,11,high,white,41,2013,98011,0,200
15,0,1,0,F,0,967.4073842,Broker,A,House,9,high,white,60,2013,98006,0,201
24,0,6,1,F,1,941.3525857,Broker,C,Condo,17,high,blue,46,2013,85077,0,202
15,1,1,0,F,1,1038.291373,Broker,C,House,6,low,blue,54,2013,80106,0,203
13,0,1,3,F,1,843.1425209,Phone,A,Tenant,35.13214265,high,blue,63,2013,20151,1,204
10,0,2,0,F,0,847.457589,Broker,A,Condo,14,low,yellow,29,2013,80003,0,205
9,1,3,4,F,1,884.074178,Phone,A,Tenant,23.32998298,high,white,29,2013,85078,0,206
13,0,2,0,F,1,787.0429253,Broker,A,Condo,15,high,blue,40,2013,80028,0,207
20,0,2,3,F,1,1085.067062,Broker,A,Tenant,11,high,white,47,2013,85065,0,208
10,0,2,2,F,1,958.5933764,Phone,C,Condo,13,high,red,50,2013,85082,0,209
13,0,1,7,M,1,806.5827733,Broker,A,Condo,18,high,red,39,2013,15044,0,210
6,1,5,0,F,1,924.2050512,Phone,A,Condo,22,high,white,36,2013,50008,0,211
6,0,1,0,F,0,895.2732194,Broker,C,Tenant,7,low,blue,30,2013,80110,1,212
3,0,3,0,M,0,871.4425914,Broker,C,Condo,15,low,blue,25,2013,98010,0,213
14,0,2,2,M,1,898.0080748,Broker,C,House,11,low,white,49,2013,80042,0,214
4,0,1,0,F,1,927.0254442,Broker,C,House,13,low,blue,22,2013,50056,1,215
17,0,2,0,F,0,1085.476344,Broker,C,Tenant,13,high,blue,38,2013,80001,0,216
16,0,2,2,F,1,823.4531177,Broker,C,House,46.85335172,high,red,57,2013,85017,0,217
3,0,2,1,M,1,935.4250861,Phone,C,House,6.655959815,high,blue,35,2013,50025,0,218
14,0,1,0,F,0,817.265713,Broker,A,Condo,12,high,white,49,2013,85048,0,219
17,0,2,0,F,1,946.3088079,Broker,A,House,24.68150865,high,blue,62,2013,85082,0,220
10,0,1,5,F,1,918.8576795,Broker,A,House,20,high,red,47,2013,15009,0,221
11,0,1,1,M,1,853.1813793,Phone,A,House,8,medium,white,43,2013,50043,0,222
3,0,2,0,M,1,1015.163138,Broker,A,House,15,low,red,30,2013,50025,1,223
5,0,2,0,M,0,942.0556403,Phone,B,Tenant,13,low,red,29,2013,50014,0,224
4,0,1,1,F,1,857.967618,Broker,C,Condo,15,high,red,34,2013,80012,0,225
9,1,3,0,M,1,946.3177258,Broker,A,NA,18,low,red,50,2013,85080,1,226
15,0,4,7,M,1,959.82372,Phone,A,House,11,medium,red,47,2013,15035,0,227
16,0,4,3,M,1,821.4526674,Broker,B,Tenant,19,high,white,44,2013,15021,0,228
9,0,1,0,F,0,763.0579104,Broker,B,House,13,high,red,58,2013,80031,0,229
19,1,3,0,F,0,830.8644,Broker,C,Tenant,15,high,red,49,2013,98001,1,230
12,0,3,3,M,1,1049.20617,Phone,C,House,20,high,white,58,2013,50012,0,231
17,0,2,11,M,1,788.8781828,Phone,C,House,11,medium,red,59,2013,50037,0,232
10,0,1,3,M,1,809.3699853,Broker,A,House,17,low,white,45,2013,50057,0,233
14,0,2,2,M,1,904.4102048,Broker,A,House,25,medium,red,48,2013,85039,1,234
12,0,2,1,F,1,1099.914927,Broker,C,House,16,high,blue,68,2013,85011,0,235
0,0,5,0,M,0,854.9341508,Online,B,Condo,16,medium,blue,22,2013,85026,1,236
7,0,1,3,M,1,832.6955792,Phone,A,House,14,high,red,55,2013,50056,0,237
21,0,1,11,M,1,802.4362397,Broker,B,House,15,high,white,47,2013,80015,0,238
14,0,3,0,M,1,903.224528,Online,B,House,13,high,white,52,2013,98001,0,239
9,0,4,0,F,0,890.4651852,Broker,C,House,14,high,red,58,2013,15012,0,240
10,0,4,2,M,1,1009.62721,Phone,B,House,21,high,white,48,2013,80015,0,241
8,0,4,1,M,1,884.5898865,Broker,B,Condo,11,high,yellow,35,2013,15012,0,242
15,1,6,2,F,1,819.9578472,Phone,A,House,11,low,red,54,2013,15044,1,243
14,0,4,2,M,1,1026.685268,Phone,C,House,7,high,blue,60,2013,85063,0,244
0,1,2,6,F,1,1045.191688,Online,C,Tenant,9,medium,red,37,2013,15022,0,245
17,0,2,0,M,0,870.9620308,Broker,A,Condo,12,high,white,43,2013,80106,0,246
3,1,4,1,M,1,930.2520203,Phone,A,Tenant,19,low,white,35,2013,15009,0,247
13,0,1,10,F,1,828.4674865,Broker,A,Tenant,17,medium,yellow,42,2013,80015,0,248
4,0,2,10,F,1,807.384359,Broker,B,Tenant,19,low,white,32,2013,80020,0,249
12,0,1,4,M,1,849.0711515,Phone,A,Tenant,11,medium,blue,45,2013,80031,0,250
5,1,2,1,F,0,908.3722469,Broker,C,House,11,high,blue,36,2013,50025,0,251
11,0,1,1,F,0,912.0147918,Phone,B,Tenant,20,low,blue,43,2013,85065,1,252
15,0,1,1,F,1,895.092107,Phone,A,House,9,medium,blue,52,2013,20118,1,253
13,0,1,5,M,1,899.5243397,Broker,A,House,23,high,blue,44,2013,20139,0,254
4,0,1,6,F,1,833.1637556,Broker,A,House,13,medium,blue,29,2013,50006,1,255
0,0,1,1,F,1,777.4279658,Online,C,House,11,medium,red,22,2013,85037,0,256
2,0,1,3,F,1,925.259208,Broker,C,Tenant,19,high,blue,28,2013,98019,0,257
14,0,2,0,F,0,783.7274511,Phone,B,Tenant,18,high,white,43,2013,85042,0,258
17,0,1,0,M,0,941.8965406,Phone,B,House,13,high,red,52,2013,80025,0,259
14,1,1,3,F,1,1047.128487,Broker,B,House,14,high,white,48,2013,15009,0,260
14,1,1,4,F,1,914.7752385,Broker,B,Tenant,8,high,red,38,2013,50050,0,261
3,0,2,0,F,0,969.8133327,Phone,A,Condo,14,medium,red,26,2013,50013,1,262
20,0,3,1,M,0,948.2314309,Phone,A,Condo,15,high,yellow,50,2013,50003,0,263
6,1,3,9,M,1,761.4309944,Broker,A,Tenant,10,low,red,34,2013,98022,1,264
17,0,1,0,F,1,1017.073953,Broker,A,House,15,low,red,45,2013,80022,0,265
14,1,1,1,M,1,842.5340457,Broker,A,House,15,high,blue,57,2013,85040,0,266
16,1,1,1,F,0,853.3724918,Broker,C,House,12,high,blue,44,2013,15001,0,267
11,0,2,7,F,1,858.4984728,Broker,A,House,6,high,blue,55,2013,15022,0,268
8,1,3,0,M,1,835.5348695,Phone,A,House,19,high,blue,40,2013,50022,1,269
15,0,1,0,M,0,998.4279563,Broker,A,Condo,16,high,red,49,2013,50001,0,270
10,0,1,0,F,0,998.5171554,Online,A,Tenant,14,high,red,47,2013,50013,0,271
16,0,1,0,M,0,874.7448521,Broker,A,Condo,22,high,blue,43,2013,85054,0,272
4,0,3,0,M,0,814.4151983,Broker,C,House,19,low,blue,32,2013,50048,1,273
18,1,2,0,M,0,873.9509773,Broker,A,House,14,high,white,37,2013,98033,1,274
29,0,4,1,F,0,964.0674551,Phone,B,House,13,low,yellow,58,2013,85008,1,275
13,1,1,2,F,1,998.6119065,Broker,C,House,16,medium,blue,54,2013,98026,0,276
17,0,1,1,F,1,830.3701896,Phone,C,House,7,high,red,55,2013,80041,0,277
17,1,4,8,F,1,832.2666701,Broker,C,House,17,high,white,57,2013,50052,0,278
17,0,1,0,F,0,1043.645637,Broker,A,Condo,16,high,red,42,2013,80021,0,279
20,1,1,0,M,1,967.3053017,Phone,A,Condo,13,low,red,44,2013,15047,0,280
5,0,1,0,F,1,870.1429236,Phone,A,Condo,17,high,white,25,2013,80023,0,281
6,1,3,0,M,1,887.0600717,Online,A,Tenant,13,low,blue,24,2013,15009,1,282
9,1,3,1,M,1,1010.76888,Phone,C,House,14,high,white,45,2013,50040,1,283
14,1,1,0,F,0,925.2322164,Online,A,House,16,high,red,53,2013,20147,0,284
20,0,2,0,M,1,813.9518494,Broker,A,House,8,medium,blue,40,2013,50003,0,285
19,0,1,0,F,0,959.5832815,Phone,B,House,11,medium,yellow,60,2013,50008,0,286
13,0,1,0,M,1,939.0678292,Phone,B,Tenant,11,low,red,42,2013,50001,0,287
19,0,1,0,M,0,953.0145092,Phone,C,Tenant,20,high,blue,46,2013,15047,0,288
15,0,4,0,M,0,1052.967589,Broker,A,House,15,high,white,39,2013,80022,0,289
11,0,2,0,M,0,921.857611,Phone,A,House,15,medium,red,51,2013,15025,0,290
3,1,1,11,M,1,876.1761508,Broker,C,Tenant,14,low,white,33,2013,80012,1,291
2,0,3,0,M,0,906.6741268,Online,C,Tenant,13,high,white,32,2013,50033,0,292
5,0,1,9,F,1,937.4115124,Broker,A,Condo,12,high,yellow,31,2013,80014,0,293
15,0,1,5,F,1,993.8909853,Broker,C,House,18,high,blue,50,2013,15012,0,294
3,0,3,0,M,0,916.4752412,Online,B,Condo,14,high,white,28,2013,85042,0,295
14,0,1,0,F,0,933.3079443,Phone,A,House,15,high,red,47,2013,85078,0,296
0,1,2,3,M,1,1001.122747,Broker,C,Tenant,10,low,blue,26,2013,50054,0,297
16,0,2,0,F,0,1027.00165,Broker,C,Condo,16,high,white,39,2013,50013,1,298
20,0,1,2,M,1,965.8765112,Phone,C,Condo,11,high,blue,67,2013,50052,0,299
7,1,2,0,M,1,861.5164335,Online,B,Condo,12,high,red,30,2013,80028,0,300
19,1,3,0,M,1,841.0121681,Phone,C,House,12,low,blue,56,2013,80021,0,301
4,1,1,4,F,1,945.3820727,Phone,C,Condo,8,high,blue,36,2013,50054,0,302
6,0,3,4,M,1,672.4124561,Broker,C,Tenant,20,low,white,33,2013,50027,0,303
